Name,Disaster,Costs,Deaths,Year,Month
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,1191.7,23,2016,6
Rockies and Northeast Severe Weather (July 2016),Severe Storm,1773.4,0,2016,7
Louisiana Flooding (August 2016),Flooding,12300,13,2016,8
Hurricane Matthew (October 2016),Tropical Cyclone,12100,49,2016,10
West/Northeast/Southeast Drought (2016),Drought,4235.6,0,2016,12
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2898,21,2016,12
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,1326,24,2017,1
California Flooding (February 2017),Flooding,1800,5,2017,2
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2167.2,6,2017,3
Midwest Tornado Outbreak (March 2017),Severe Storm,2611.2,2,2017,3
Southeast Freeze (March 2017),Freeze,1200,0,2017,3
South/Southeast Severe Weather (March 2017),Severe Storm,3234,0,2017,3
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,1171.2,1,2017,4
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,1990.8,20,2017,5
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,3986.5,0,2017,5
North Central Severe Weather and Tornadoes (May 2017),Severe Storm,1120,1,2017,5
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2796.5,0,2017,6
Midwest Severe Weather (June 2017),Severe Storm,1795.8,0,2017,6
Midwest Severe Weather (June 2017),Severe Storm,1695.8,0,2017,6
Hurricane Harvey (August 2017),Tropical Cyclone,148750,89,2017,8
Hurricane Irma (September 2017),Tropical Cyclone,59500,97,2017,9
Hurricane Maria (September 2017),Tropical Cyclone,107100,2981,2017,9
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,3000,0,2017,12
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,21426,54,2017,12
Central and Eastern Winter Storm (January 2018),Winter Storm,1230.8,22,2018,1
Northeast Winter Storm (March 2018),Winter Storm,2567,9,2018,3
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,1698.9,0,2018,3
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,1542.3,3,2018,4
Central and Northeastern Severe Weather (May 2018),Severe Storm,1626.6,0,2018,5
Central and Eastern Severe Weather (May 2018),Severe Storm,1603.1,5,2018,5
Texas Hail Storm (June 2018),Severe Storm,1508,0,2018,6
Colorado Hail Storm (June 2018),Severe Storm,1107.8,0,2018,6
Colorado Hail Storm (June 2018),Severe Storm,2578.7,0,2018,6
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,1838.7,0,2018,7
Rockies and Plains Hail Storms (August 2018),Severe Storm,1189,0,2018,8
Hurricane Florence (September 2018),Tropical Cyclone,27840,53,2018,9
Hurricane Michael (October 2018),Tropical Cyclone,28971,49,2018,10
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,3528.2,0,2018,12
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,27840,106,2018,12
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,1435.6,2,2019,2
Texas Hail Storm (March 2019),Severe Storm,1765.3,0,2019,3
Missouri River and North Central Flooding (March 2019),Flooding,12443.3,3,2019,3
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,1427.3,7,2019,4
South and Southeast Severe Weather (May 2019),Severe Storm,1726,0,2019,5
Central Severe Weather (May 2019),Severe Storm,1109.2,0,2019,5
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,5127.7,3,2019,5
Arkansas River Flooding (June 2019),Flooding,3448.5,5,2019,6
Colorado Hail Storms (July 2019),Severe Storm,1149.1,0,2019,7
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,7094.6,4,2019,7
Hurricane Dorian (September 2019),Tropical Cyclone,1835.4,10,2019,9
Tropical Storm Imelda (September 2019),Tropical Cyclone,5700,5,2019,9
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,1958.4,2,2019,10
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,5130,3,2019,11
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,1298.6,10,2020,1
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,1419.6,3,2020,2
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2639.7,25,2020,3
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2890.8,0,2020,3
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,3284.3,0,2020,4
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,3926.2,35,2020,4
Southern Severe Weather (April 2020),Severe Storm,1539,3,2020,4
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,1170.7,1,2020,4
Central and Eastern Severe Weather (May 2020),Severe Storm,2408.7,2,2020,5
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,1805.9,2,2020,5
South Texas Hail Storms (May 2020),Severe Storm,1596,0,2020,5
Central Severe Weather (July 2020),Severe Storm,1351.7,0,2020,7
Hurricane Hanna (July 2020),Tropical Cyclone,1204,0,2020,7
Hurricane Isaias (August 2020),Tropical Cyclone,5328,16,2020,8
Central Severe Weather - Derecho (August 2020),Severe Storm,12460.6,4,2020,8
Hurricane Laura (August 2020),Tropical Cyclone,26000.8,42,2020,8
Hurricane Sally (September 2020),Tropical Cyclone,8147,5,2020,9
Hurricane Delta (October 2020),Tropical Cyclone,3211,5,2020,10
Hurricane Zeta (October 2020),Tropical Cyclone,4874.3,6,2020,10
Tropical Storm Eta (November 2020),Tropical Cyclone,1635.2,12,2020,11
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,5034.4,45,2020,12
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,18424,46,2020,12
California Flooding and Severe Weather (January 2021),Flooding,1226.4,2,2021,1
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,25181.8,262,2021,2
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,1844.7,6,2021,3
Eastern Severe Weather (March 2021),Severe Storm,1480.6,8,2021,3
Texas Hail Storms (April 2021),Severe Storm,1622.5,0,2021,4
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,3463.9,0,2021,4
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,1378,4,2021,5
Louisiana Flooding (May 2021),Flooding,1450.9,5,2021,5
Ohio Valley Hail Storms (June 2021),Severe Storm,1843.6,0,2021,6
Central Severe Storms (June 2021),Severe Storm,1353.1,0,2021,6
Tropical Storm Elsa (July 2021),Tropical Cyclone,1298.2,1,2021,7
Central Severe Storms (July 2021),Severe Storm,1155.8,0,2021,7
North Central Severe Weather (August 2021),Severe Storm,1374.1,2,2021,8
Tropical Storm Fred (August 2021),Tropical Cyclone,1366.6,7,2021,8
Hurricane Ida (August 2021),Tropical Cyclone,78722.3,96,2021,9
Hurricane Nicholas (September 2021),Tropical Cyclone,1087.2,0,2021,9
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,4110.9,93,2021,12
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,1871.3,1,2021,12
Western Drought and Heat Wave (2021),Drought,9442.6,229,2021,12
Western Wildfires (2021),Wildfire,11232,8,2021,12
Southern Tornado Outbreak (March 2022),Severe Storm,1279,2,2022,3
Southeastern Tornado Outbreak (April 2022),Severe Storm,1274.8,3,2022,4
Southern Severe Weather (April 2022),Severe Storm,2229.4,1,2022,4
North Central Hail Storms (May 2022),Severe Storm,1159.5,0,2022,5
North Central Severe Weather (May 2022),Severe Storm,1323.2,1,2022,5
North Central Hail Storms (May 2022),Severe Storm,1306,0,2022,5
Central Severe Weather (June 2022),Severe Storm,1378,0,2022,6
